
--- [START 2018-08-24_02-09-29] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold1-ex

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train1_3600
valid_dataset.split = list_valid1_400

** net setting **
	pretrain_file = /root/share/project/kaggle/tgs/results/unet-5-scale/fold3/initial/00100000_model.pth

--- [START 2018-08-24_02-09-57] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold1-ex

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train1_3600
valid_dataset.split = list_valid1_400

** net setting **
<class 'model.SaltNet'>

** start training here! **
 rate    iter   epoch   | valid_loss               | train_loss               | batch_loss               |  time          
0.0100    6.7    59.6  |  0.052  0.940  (0.752) |  0.019  0.973  |  0.011  0.986  |  0 hr 31 min 
0.0100    6.8    60.4  |  0.042  0.944  (0.768) |  0.029  0.960  |  0.012  0.985  |  0 hr 32 min 
0.0100    6.9    61.3  |  0.049  0.946  (0.765) |  0.016  0.978  |  0.024  0.952  |  0 hr 32 min 
0.0100    7.0    62.2  |  0.045  0.949  (0.786) |  0.017  0.979  |  0.006  0.991  |  0 hr 33 min 
0.0100    7.1    63.1  |  0.042  0.940  (0.763) |  0.022  0.969  |  0.014  0.980  |  0 hr 33 min 
0.0100    7.2    64.0  |  0.041  0.946  (0.762) |  0.017  0.975  |  0.019  0.968  |  0 hr 34 min 
0.0100    7.3    64.9  |  0.052  0.941  (0.767) |  0.016  0.980  |  0.024  0.961  |  0 hr 34 min 
0.0100    7.4    65.8  |  0.049  0.944  (0.767) |  0.015  0.977  |  0.012  0.982  |  0 hr 35 min 
0.0100    7.5    66.7  |  0.049  0.950  (0.776) |  0.014  0.981  |  0.016  0.977  |  0 hr 35 min 
0.0100    7.6    67.6  |  0.043  0.944  (0.773) |  0.016  0.977  |  0.016  0.976  |  0 hr 36 min 
0.0100    7.7    68.4  |  0.060  0.941  (0.774) |  0.016  0.978  |  0.017  0.973  |  0 hr 36 min 
0.0100    7.8    69.3  |  0.057  0.942  (0.776) |  0.018  0.974  |  0.055  0.947  |  0 hr 37 min 
0.0100    7.9    70.2  |  0.054  0.944  (0.769) |  0.017  0.974  |  0.023  0.957  |  0 hr 37 min 
0.0100    8.0    71.1  |  0.052  0.941  (0.770) |  0.016  0.979  |  0.014  0.980  |  0 hr 38 min 
0.0100    8.1    72.0  |  0.054  0.941  (0.754) |  0.015  0.977  |  0.050  0.956  |  0 hr 38 min 
0.0100    8.2    72.9  |  0.054  0.940  (0.752) |  0.030  0.967  |  0.016  0.978  |  0 hr 39 min 
0.0100    8.3    73.8  |  0.049  0.936  (0.739) |  0.016  0.977  |  0.009  0.991  |  0 hr 39 min 
0.0100    8.4    74.7  |  0.056  0.939  (0.760) |  0.015  0.978  |  0.012  0.985  |  0 hr 40 min 
0.0100    8.5    75.6  |  0.052  0.942  (0.761) |  0.019  0.974  |  0.015  0.978  |  0 hr 40 min 
0.0100    8.6    76.4  |  0.061  0.937  (0.734) |  0.013  0.980  |  0.022  0.974  |  0 hr 40 min 
0.0100    8.7    77.3  |  0.056  0.941  (0.767) |  0.013  0.980  |  0.051  0.926  |  0 hr 41 min 
0.0100    8.8    78.2  |  0.049  0.945  (0.780) |  0.015  0.977  |  0.012  0.980  |  0 hr 41 min 
0.0100    8.9    79.1  |  0.051  0.943  (0.786) |  0.015  0.980  |  0.038  0.930  |  0 hr 42 min 
0.0100    9.0    80.0  |  0.056  0.945  (0.776) |  0.018  0.974  |  0.013  0.985  |  0 hr 42 min 
0.0100    9.1    80.9  |  0.048  0.946  (0.785) |  0.019  0.978  |  0.026  0.949  |  0 hr 43 min 
0.0100    9.2    81.8  |  0.054  0.948  (0.762) |  0.014  0.980  |  0.011  0.983  |  0 hr 43 min 
0.0100    9.3    82.7  |  0.057  0.948  (0.789) |  0.012  0.982  |  0.017  0.979  |  0 hr 44 min 
0.0100    9.4    83.6  |  0.059  0.945  (0.786) |  0.014  0.982  |  0.017  0.971  |  0 hr 44 min 
0.0100    9.5    84.4  |  0.058  0.947  (0.792) |  0.012  0.983  |  0.026  0.957  |  0 hr 45 min 
0.0100    9.6    85.3  |  0.058  0.936  (0.745) |  0.015  0.977  |  0.016  0.980  |  0 hr 45 min 
0.0100    9.7    86.2  |  0.060  0.944  (0.752) |  0.012  0.985  |  0.014  0.985  |  0 hr 46 min 
0.0100    9.8    87.1  |  0.053  0.940  (0.722) |  0.017  0.977  |  0.018  0.968  |  0 hr 46 min 
0.0100    9.9    88.0  |  0.059  0.935  (0.749) |  0.015  0.978  |  0.011  0.983  |  0 hr 47 min 
0.0100   10.0    88.9  |  0.059  0.944  (0.779) |  0.011  0.983  |  0.014  0.982  |  0 hr 47 min 
0.0100   10.1    89.8  |  0.067  0.944  (0.762) |  0.013  0.982  |  0.008  0.990  |  0 hr 48 min 
0.0100   10.2    90.7  |  0.058  0.951  (0.789) |  0.012  0.984  |  0.010  0.982  |  0 hr 48 min 
0.0100   10.3    91.6  |  0.047  0.947  (0.785) |  0.014  0.979  |  0.010  0.984  |  0 hr 49 min 
0.0100   10.4    92.4  |  0.062  0.948  (0.798) |  0.014  0.981  |  0.013  0.984  |  0 hr 49 min 
0.0100   10.5    93.3  |  0.044  0.947  (0.763) |  0.019  0.973  |  0.015  0.984  |  0 hr 50 min 
0.0100   10.6    94.2  |  0.054  0.936  (0.747) |  0.017  0.975  |  0.030  0.960  |  0 hr 50 min 
0.0100   10.7    95.1  |  0.050  0.939  (0.739) |  0.013  0.983  |  0.035  0.939  |  0 hr 50 min 
