
--- [START 2018-08-23_22-25-07] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/tgs/build/dummy-06
	__file__     = /root/share/project/kaggle/tgs/build/dummy-06/unet_5_scale_aug0/train.py
	out_dir      = /root/share/project/kaggle/tgs/results/unet-5-scale-more-aug/fold2

	<additional comments> ...  
	  - 5-scale unet  
	  - more augmentation 

** dataset setting **
batch_size = 32
train_dataset.split = list_train2_3600
valid_dataset.split = list_valid2_400

** net setting **
<class 'model.SaltNet'>

** start training here! **
 rate    iter   epoch   | valid_loss               | train_loss               | batch_loss               |  time          
0.0100    6.2    55.1  |  0.041  0.961  (0.763) |  0.013  0.982  |  0.013  0.981  |  0 hr 31 min 
0.0100    6.3    56.0  |  0.043  0.961  (0.775) |  0.014  0.981  |  0.011  0.986  |  0 hr 32 min 
0.0100    6.4    56.9  |  0.037  0.958  (0.753) |  0.015  0.979  |  0.010  0.987  |  0 hr 32 min 
0.0100    6.5    57.8  |  0.037  0.963  (0.775) |  0.012  0.983  |  0.015  0.977  |  0 hr 33 min 
0.0100    6.6    58.7  |  0.050  0.953  (0.764) |  0.012  0.982  |  0.014  0.974  |  0 hr 33 min 
0.0100    6.7    59.6  |  0.038  0.956  (0.761) |  0.012  0.982  |  0.009  0.988  |  0 hr 34 min 
0.0100    6.8    60.4  |  0.044  0.958  (0.763) |  0.011  0.984  |  0.029  0.968  |  0 hr 34 min 
0.0100    6.9    61.3  |  0.044  0.955  (0.762) |  0.014  0.979  |  0.013  0.983  |  0 hr 35 min 
0.0100    7.0    62.2  |  0.045  0.957  (0.767) |  0.014  0.978  |  0.007  0.988  |  0 hr 36 min 
0.0100    7.1    63.1  |  0.049  0.955  (0.755) |  0.012  0.983  |  0.013  0.981  |  0 hr 36 min 
0.0100    7.2    64.0  |  0.058  0.955  (0.767) |  0.012  0.984  |  0.014  0.979  |  0 hr 37 min 
0.0100    7.3    64.9  |  0.039  0.952  (0.754) |  0.015  0.982  |  0.022  0.966  |  0 hr 37 min 
0.0100    7.4    65.8  |  0.042  0.956  (0.771) |  0.011  0.984  |  0.004  0.996  |  0 hr 38 min 
0.0100    7.5    66.7  |  0.045  0.956  (0.741) |  0.010  0.986  |  0.011  0.986  |  0 hr 38 min 
0.0100    7.6    67.6  |  0.043  0.953  (0.739) |  0.013  0.979  |  0.009  0.986  |  0 hr 39 min 
0.0100    7.7    68.4  |  0.040  0.956  (0.777) |  0.018  0.979  |  0.010  0.985  |  0 hr 39 min 
0.0100    7.8    69.3  |  0.050  0.951  (0.743) |  0.018  0.976  |  0.019  0.973  |  0 hr 40 min 
0.0100    7.9    70.2  |  0.044  0.955  (0.750) |  0.015  0.980  |  0.010  0.986  |  0 hr 40 min 
0.0100    8.0    71.1  |  0.044  0.948  (0.719) |  0.012  0.983  |  0.025  0.963  |  0 hr 41 min 
0.0100    8.1    72.0  |  0.044  0.960  (0.772) |  0.013  0.982  |  0.010  0.987  |  0 hr 41 min 
0.0100    8.2    72.9  |  0.036  0.956  (0.757) |  0.011  0.983  |  0.011  0.983  |  0 hr 42 min 
0.0100    8.3    73.8  |  0.038  0.957  (0.762) |  0.009  0.988  |  0.007  0.988  |  0 hr 42 min 
0.0100    8.4    74.7  |  0.048  0.959  (0.769) |  0.010  0.985  |  0.011  0.984  |  0 hr 43 min 
0.0100    8.5    75.6  |  0.046  0.954  (0.729) |  0.011  0.984  |  0.009  0.984  |  0 hr 43 min 
0.0100    8.6    76.4  |  0.046  0.957  (0.750) |  0.013  0.982  |  0.016  0.978  |  0 hr 44 min 
